,RECORD #(BIBLIO),Class cutter?,New 852,Main entry,,001,Old 852(s),,,,,
0131,b118659662,Yes,ML102.B6 L37 G8 1993,Larkin,TRUE,NYPG94-B206,JNE 94-26,,,,,
0204,b109255410,Yes,ML102.C3 S9 1985,Studwell,,NYPG85-B17174,"JFD 85-2119;""JMD 86-281""",,,,,
0820,b144275107,Yes,ML102.C45 B8,Bryden,,70754,"*R-Music;""*MM (Bryden","J. R. Index of Gregorian chant)""",,,,
0034,b102559272,Yes,ML102.C5 D33,Davidson,,NYPG754428881-B,JMD 75-189,,,,,
1246,b208149077,Yes,ML102.C5 L66 2015,Long,,906121873,JME 15-643,,,,,
0455,b11713191x,Yes,ML102.C5 P77 1991,Poultney,,NYPG93-B23852,JME 93-66,,,,,
0945,b155826232,Yes,ML102.C66 P68 2002,Powell,,50002632,"JME 03-41 CD in R&H;""*LDC 25965""",,,,,
1301,b221503869,Yes,ML102.C7 C28 2003,Carlin,,49260188,JMF 02-1294,,,,,
1318,b221949392,Yes,ML102.C7 E539 2012,Encyclopedia,,671491821,JNF 12-56,,,,,
0540,b119709338,Yes,ML102.C7 F6 1993,Flint,,NYPG94-B34110,JNE 94-54,,,,,
0062,b112167822,Yes,ML102.E4 A6 1988,Anderton,TRUE,NYPG88-B86501,JME 89-111,,,,,
0544,b119912120,Yes,ML102.E4 C379 1992,Cary,,NYPG94-B38915,"JME 94-520;""*LE 94-1402""",,,,,
0098,b115593792,Yes,ML102.E4 D63 1992,Dobson,TRUE,NYPG92-B38937,JMD 92-374,,,,,
0117,b11785802x,Yes,ML102.E4 P48 1993,Petersen,TRUE,NYPG93-B59971,*LE 93-11217,,,,,
1281,b21833588x,Yes,ML102.F58 M23 2019,Maclagan,,1035775945,JMF 19-194,,,,,
0142,b119629951,Yes,ML102.F66 L37 G8 1993,Larkin,TRUE,NYPGR29468448-B,JME 94-329,,,,,
0872,b150389929,Yes,ML102.F66 S7 2001,Stambler,,46897014,"Sc E 01-653;""JME 01-549"";""*L 01-12029""",,,,,
1014,b161845411,Yes,ML102.G6 E539 2005,Encyclopedia,,vendor,"Sc *783.1-E (Encyclopedia of American gospel music);""JMF 06-18""",,,,,
1075,b165295260,Yes,ML102.H56 R37 2006,Ranade,,70208235,JMD 07-277,,,,,
0449,b117106665,Yes,ML102.I5 B34 1992,Baines,,NYPG93-B20112,JME 93-44,,,,,
0038,b108386065,Yes,ML102.I5 B83 C6 1980,Buchner,TRUE,NYPG84-B13457,JME 83-282,,,,,
1239,b205000915,Yes,ML102.I5 N48 2014,New,,844074253,JMF 15-111,,,,,
0913,b154884431,Yes,ML102.I5 S2 1964,Sachs,,NYPG02-B3510,*R-Music,,,,,
1007,b161470312,Yes,ML102.J3 B55 2005,Billboard,,61771061,JMF 05-564,,,,,
0154,b107963280,Yes,ML102.J3 C3474 I5 1978,Case,,NYPG83-B45920,JNF 83-99,,,,,
1091,b166913406,Yes,ML102.J3 C37 2004,Carr,,56070339,JNE 08-41,,,,,
0055,b11111889x,Yes,ML102.J3 C37 J3 1987,Carr,TRUE,NYPG87-B52143,JNE 92-62,,,,,
0054,b110890620,Yes,ML102.J3 C63 1986,Clayton,TRUE,NYPG87-B18188,JME 88-314,,,,,
0338,b113928919,Yes,ML102.J3 C63 G8 1989,Clayton,,NYPG90-B80245,JNE 91-21,,,,,
1012,b161819576,Yes,ML102.J3 C66 2005,Cook,,60793887,JME 06-3,,,,,
1334,b225591820,Yes,ML102.J3 D38 2020,Davis,,1141037219,JME 21-517,,,,,
0497,b118322850,Yes,ML102.J3 E3 1986,Eckland,,16684116,JND 95-5,,,,,
0774,b143229862,Yes,ML102.J3 F4 1999,Feather,,vendor,JMF 99-1007,,,,,
1315,b221898256,Yes,ML102.J3 F75 2010,Friedwald,,458892544,JNE 10-355,,,,,
0442,b116904902,Yes,ML102.J3 G6,Gold,,851064,*R-Music,,,,,
0115,b117527889,Yes,ML102.J3 L37 G8 1992,Larkin,TRUE,NYPG93-B42492,JME 93-384,,,,,
0278,b158942929,Yes,ML102.J3 L37 V5 2004,Larkin,TRUE,53390083,JMF 04-218,,,,,
0874,b150636039,Yes,ML102.J3 M48 2001,Milkowski,,vendor,JME 01-514,,,,,
0880,b152992868,Yes,ML102.J3 N48 2001,New,,46956628,JMF 01-2241; *L 01-971,,,,,
0957,b158327883,Yes,ML102.J3 R45 2003,Reclam,,54852771,JMD 04-479,,,,,
0710,b135464717,Yes,ML102.M68 C73 1998,Craggs,,37004421,JME 98-311,,,,,
0759,b140848058,Yes,ML102.M68 H57 1999,Hischak,,vendor,JME 99-272,,,,,
1126,b18137318x,Yes,ML102.M68 H57 2009,Hischak,,317068086,JNE 09-68,,,,,
1241,b206355294,Yes,ML102.M68 H57 2015,Hischak,,893099403,JMF 15-46,,,,,
1119,b180101894,Yes,ML102.M68 L54 2009,Liebman,,231671129,JMF 09-261,,,,,
1219,b199994420,Yes,ML102.M76 C65 2013,Collins,,833300820,JME 14-37,,,,,
0278,b112113199,Yes,ML102.M85 W3 1987,Wadhams,,NYPG88-B7927,*LE 88-1530,,,,,
1142,b18405803x,Yes,ML102.M875 B58 2010,Blumenfeld,,437299410,JME 10-673,,,,,
1250,b208732512,Yes,ML102.M88 E94 2016,Everett,,921240501,JNE 16-72,,,,,
1085,b16585618x,Yes,ML102.M88 H57 2007,Hischak,,vendor,JMF 07-1590,,,,,
0157,b120812022,Yes,ML102.O6 A56 1995,Anderson,TRUE,32876337,JME 95-497,,,,,
0594,b123465151,Yes,ML102.O6 D25 1995,Dictionnaire,,34518681,JMD 96-516,,,,,
0987,b16015358x,Yes,ML102.O6 G55 2004,Glick,,vendor,JME 05-186,,,,,
0801,b143691879,Yes,ML102.O6 G74 1999,Griffel,,vendor,JME 99-653,,,,,
1202,b197664234,Yes,ML102.O6 G74 2013,Griffel,,793224284,JMF 13-513,,,,,
1268,b215379123,Yes,ML102.O6 G74 2018,Griffel,,993752407,JMF 18-123,,,,,
1144,b185012152,Yes,ML102.O6 K46 2010,Kennedy,,YBP 2010925663,JMD 10-388,,,,,
0025,b105679410,Yes,ML102.O6 L6 1978,Loewenberg,TRUE,NYPG794418256-B,*R-Music 79-755,,,,,
0908,b154858535,Yes,ML102.O6 M3,Manferrari,,NYPG02-B3452,*R-Music,,,,,
0692,b134040508,Yes,ML102.O6 M35 1997,Martin,,97021920,JME 97-711,,,,,
1220,b200213118,Yes,ML102.O6 M35 2014,Martin,,854541666,JMF 14-85,,,,,
1078,b165362315,Yes,ML102.O6 M45 2007,Mesa,,70176871,JMF 07-828,,,,,
0052,b110827466,Yes,ML102.O6 M48,Metropolitan Opera,TRUE,NYPG87-B104864,JMF 88-283,,,,,
0428,b116572164,Yes,ML102.O6 N48 1992,New,,NYPG93-B3,JMF 92-1417,,,,,
0672,b131694613,Yes,ML102.O6 P25 1986 vol. 10-12,Parsons,,20824185,*L 97-654,,,,,
0422,b116486648,Yes,ML102.O6 P25 1986 vol. 13-14,Parsons,,NYPG92-B78294,JMF 92-1148,,,,,
0493,b118214019,Yes,ML102.O6 P25 1986 vol. 15-16,Parsons,,NYPG94-B533,JMF 93-1511,,,,,
0601,b123674554,Yes,ML102.O6 P25 1986 vol. 17-18,Parsons,,31865605,JMF 96-223,,,,,
0890,b154190998,Yes,ML102.O6 P25 1986 vol. 19b,Parsons,,49289962,JMF 02-745,,,,,
0573,b120755324,Yes,ML102.O6 P25 1986 vol. 9,Parsons,,NYPG89-B36205,JMF 95-494,,,,,
0596,b123491873,Yes,ML102.O6 S4 1987,Seeger,,NYPG87-B47336,JME 88-13,,,,,
0525,b118912367,Yes,ML102.O6 S6 1995,Smith,,31076715,JNE 96-145,,,,,
0064,b103742906,Yes,ML102.O6 S8,Stieger,,NYPG764365675-B,JMM 76-48,,,,,
0438,b116826782,Yes,ML102.O6 W37 1992,Warrack,,NYPG93-B12336,"JME 93-2;""*LAD 93-601""",,,,,
0977,b159606482,Yes,ML102.O6 W53 2004,Wlaschin,,vendor,JMF 04-562,,,,,
1051,b164281629,Yes,ML102.O6 W53 2006,Wlaschin,,61707101,JMF 06-1825,,,,,
