,RECORD #(BIBLIO),Class cutter?,New 852,Main entry,,001,Old 852(s),,,,,
1201,b197646359,yes,ML128.S3 C37 2013,Carman,,773671813,JNF 13-31,,,,,
0600,b123636644,yes,ML128.S3 C55 1996,Children's,,33079033,JME 96-215,,,,,
0927,b154966678,yes,ML128.S3 C9 1936,Cushing,,NYPG02-B3637,*R-Music,,,,,
0776,b143386189,yes,ML128.S3 D37 1966,De Charms,,766320,"*MC (DeCharms, D. Songs in collections)",,,,,
0274,b158385123,yes,ML128.S3 D45 1908,Delaney,TRUE,NYPG03-B4145,JMF 00-1501,,,,,
0926,b154966654,yes,ML128.S3 F47 1995,Ferguson,,32166467,JNF 95-160,,,,,
0866,b149394019,yes,ML128.S3 G3 2000,Gardner,,43245515,*LE 01-30,,,,,
0066,b10418243x,yes,ML128.S3 H4,Havlice,,1322840,JMK 78-19,,,,,
0301,b112650235,yes,ML128.S3 H4 Suppl. 1,Havlice,,3481289,JMK 78-19 suppl. 1,,,,,
0271,b111787014,yes,ML128.S3 H4 Suppl. 2,Havlice,,9620299,JMK 78-19 suppl. 2,,,,,
0069,b112650260,yes,ML128.S3 H4 Suppl. 3,Havlice,TRUE,20715044,JMK 78-19 suppl. 3,,,,,
0994,b160493936,yes,ML128.S3 H4 Suppl. 4,Havlice,,55138490,JMD 05-321,,,,,
0535,b119523425,yes,ML128.S3 K55 1994,Klaus,,30895150,JME 95-48,,,,,
0322,b113297348,yes,ML128.S3 L39 1989,Lax,,18588306,JME 89-52,,,,,
0041,b108845370,yes,ML128.S3 L4 1982,LeSueur,TRUE,NYPG84-B68572,JMF 83-453,,,,,
0197,b108976853,yes,ML128.S3 L55 1984,Lewine,,10912593,"JNF 85-69;""*LE 87-4160""",,,,,
0737,b138008863,yes,ML128.S3 L665 1998,Luchinsky,,38024109,JMF 98-806,,,,,
0696,b134398543,yes,ML128.S3 M37 1997,Maroney,,97019848,JME 98-131,,,,,
0261,b111273225,yes,ML128.S3 P48 1979,Peterson,,4907924,JMF 87-1136,,,,,
0324,b143398325,yes,ML128.S3 S31 1926,Sears,TRUE,883553,*R-Music (Sears. Song index),,,,,
0258,b111157584,yes,ML128.S3 S33 1987,Seaton,,NYPG87-B58309,JMD 88-162,,,,,
0161,b108096269,yes,ML128.S3 W45 1981,Whitter,,8193934,JMD 84-175,,,,,
0757,b140245121,yes,ML128.S4 A27 1999,Abromeit,,39868233,"Sc E 99-298;""Sc E 00-1038"";""JME 99-239""",,,,,
0474,b117538474,yes,ML128.S4 I5 1991,Index,,21562318,"JNF 93-186;""Sc F 98-764""",,,,,
0104,b106329182,yes,ML128.S4 J3 1979,Jackson,,NYPG804240012-B,"JNE 81-47;""Sc *783.016-J (Jackson","I. Afro-American religious music)""",,,,
1157,b187954276,yes,ML128.S68 P37 2011,Parker,,277195962,JME 11-377,,,,,
0020,b101490495,yes,ML128.S7 F4 1973,Farish,,NYPG744253307-B,JMF 98-49,,,,,
0389,b115083856,yes,ML128.S75 O2 1991,O'Brien,,NYPG91-B84532,JNE 91-88,,,,,
0408,b115560798,yes,ML128.T4 P37 1990,Pattillo,,NYPG92-B33205,*L 92-590,,,,,
0359,b114328006,yes,ML128.T5 D27 1990,Damschroder,,NYPG91-B42986,JMF 91-491,,,,,
0660,b129630846,yes,ML128.T5 P47 1997,Perone,,36111983,JME 97-231,,,,,
0717,b136561081,yes,ML128.T5 P47 1998,Perone,,38174169,JME 98-370,,,,,
1262,b212975857,yes,ML128.T5 R63 2017,Robinson,,961357961,JME 17-239,,,,,
1106,b168438604,yes,ML128.T5 W55 2007,Williams,,156784943,JMF 08-791,,,,,
0763,b141552529,yes,ML128.T76 L36 1999,Lane,,39281982,JMD 99-452,,,,,
0952,b157476868,yes,ML128.T78 H37 1986,Hardin,,15560089,JME 12-58,,,,,
1197,b197095902,yes,ML128.V4 B45 2011,Beisswenger,,666491840,JME 13-86,,,,,
1102,b167804479,yes,ML128.V5 L36 2007,Lambooij,,183211445,JMF 09-348,,,,,
0221,b110135490,yes,ML128.V7 B37 1950,Barlow,,NYPG86-B25423,"JME 86-64;""*R-Phono (Barlow","H. Dictionary of vocal themes)""",,,,
0928,b15496668x,yes,ML128.V7 B75,British,,NYPG02-B3638,*R-Music (British Broadcasting Corporation. Music Library. Choral and opera catalogue),,,,,
0119,b106986739,yes,ML128.V7 B76 1981,Brooks,,NYPG81-B8182,JNE 81-117,,,,,
0230,b110360473,yes,ML128.V7 B78 1981,Brusse,,NYPG86-B56430,JMF 86-1007,,,,,
0181,b125320656,yes,ML128.V7 C46 1996,Cho,TRUE,35167165,JMF 96-495,,,,,
0211,b109524470,yes,ML128.V7 L8 1985,Lust,,NYPG85-B54634,JNE 85-25,,,,,
0057,b103402159,yes,ML128.V7 N335,Nardone,,NYPG774147334-B,JMF 77-193,,,,,
0218,b110034624,yes,ML128.V7 S2 1985,Sacred,,NYPG86-B12291,JMF 86-196,,,,,
0255,b110998868,yes,ML128.V7 S2 1985 Index 1,Sacred,,NYPG87-B33780,JMF 87-471,,,,,
0175,b124263252,yes,ML128.V7 S2 1985 Index 2,Sacred,TRUE,34510701,JMF 75-512 1996 index,,,,,
0424,b116562444,yes,ML128.V7 S2 1985 Suppl. 2,Sacred,,NYPG93-B1449,JMF 75-512 1992 suppl.,,,,,
0178,b124604900,yes,ML128.V7 S2 1985 Suppl. 3,Sacred,TRUE,34109173,JMF 75-512 1996 suppl.,,,,,
0268,b111719951,yes,ML128.V7 S4 1987,Secular,,NYPG88-B24810,JMF 88-463,,,,,
0184,b126120821,yes,ML128.V7 S4 1987 Index,Secular,TRUE,35745545,`,,,,,
0375,b114759832,yes,ML128.V7 S4 1987 Suppl. 1,Secular,,NYPG91-B58417,JMF 91-817,,,,,
0522,b118875164,yes,ML128.V7 S4 1987 Suppl. 2,Secular,,28587057,JMF 95-772,,,,,
0909,b154876872,yes,ML128.V7 S83 1961,Stecheson,,NYPG02-B3481,*R-Music 08-441,,,,,
0220,b110096629,yes,ML128.V7 V63 1985,Vocal,,NYPG86-B20344,JMF 87-1192,,,,,
1088,b166494380,yes,ML128.V7 V63 2008,Vocal,,123767085,JME 07-872,,,,,
1320,b221967163,yes,ML128.V7 Y34 2012,Yaffe,,741751338,JMF 12-369,,,,,
0718,b136682807,yes,ML128.W5 G52 1998,Gillaspie,,37843753,JME 98-396,,,,,
0684,b132869652,yes,ML128.W5 P48 1997,Peters,,37156275,JMF 97-581,,,,,
0932,b15520578x,yes,ML128.W5 S43 2002,Secrist-Schmedes,,49611076,JMD 02-1101,,,,,
0203,b109255161,yes,ML128.W5 S6 1984,Skei,,NYPG85-B17134,JMD 85-79,,,,,
0103,b106328177,yes,ML128.W7 B6 1979,Block,,NYPG804238586-B,JNF 80-40,,,,,
0564,b120534794,yes,ML128.W7 J3 1994,Jackson,,29913114,JME 95-316,,,,,
1010,b161711820,yes,ML128.W7 P46 2005,Pendle,,61247276,JME 05-635,,,,,
1151,b185885883,yes,ML128.W7 P46 2010,Pendle,,259266360,JME 10-1584,,,,,
0516,b11870333x,,ML13.D57,,,2242067,"*MAD (U.S.) (Directory of music faculties in colleges and universities, U.S. and Canada)",,,,,
0198,b132606938,,ML13.L58,Livingston's,TRUE,37611951,*LAD 98-735,,,,,
0197,b132606926,,ML13.L58 1996,Livingston's,TRUE,37702452,*LAD 98-736,,,,,
0543,b119890732,,ML13.Z54 1994,,,29753704,JNE 95-9,,,,,
0391,b115177929,Yes,ML134.5.S52 G6 1991,(Shakespeare [Other table]) Gooch,,NYPG92-B302,JME 91-546,,,,,
1335,b225591868,Yes,ML134.A345 S26 2020,(Adams) Sanchez-Behar,,1129718875,JNE 21-132,,,,,
1245,b207764529,Yes,ML134.A45 C53 2016,(Albeniz) Clark,,898206243,JME 15-460,,,,,
1089,b166773980,Yes,ML134.A45 T67 2001,(Albeniz) Torres,,49052019,JMF 07-1598,,,,,
1225,b202003486,Yes,ML134.B08 E57 2014,"(Bach, C.P.E.) Ensslin",,876835637,JMM 14-5,,,,,
0436,b116799857,Yes,ML134.B08 H45 1989,"(Bach, C.P.E.) Helm",,NYPG90-B3797,JMF 89-1052,,,,,
0893,b154327785,Yes,ML134.B08 P69 2002,"(Bach, C.P.E.) Powers",,vendorybp90102337,JME 02-619,,,,,
0259,b111222552,Yes,ML134.B1 A3 1985,"(Bach, J.S.) Schulze",,NYPG87-B67987,"JML 87-18 Library has: Bd. 1, T. 1-4.",,,,,
0014,b10223629x,Yes,ML134.B1 M33 1962,"(Bach, J.S.) McAll, May de Forest.",TRUE,NYPG754072848-B,JMF 74-460,,,,,
0469,b117514871,Yes,ML134.B1 R43 1993,"(Bach, J.S.) Reeder",,NYPG93-B40567,JME 93-211,,,,,
0412,b115595417,Yes,ML134.B1 S36 1950,"(Bach, J.S.) Schmieder",,NYPG92-B39275,JMF 92-527,,,,,
0260,b154781393,Yes,ML134.B1 S36 1980,"(Bach, J.S.) Schmieder",FALSE,NYPG85-B19710,*R-Music 85-1549,,,,,
0236,b143883987,Yes,ML134.B1 S36 1998,"(Bach, J.S.) Schmieder",FALSE,39633107,JMF 99-1156,,,,,
1192,b197016972,Yes,ML134.B11 Bd. 2 2012,"(Bach, W.F.) Wollny",,797171600,JMF 12-318,,,,,
1158,b188394394,Yes,ML134.B175 A3 2012,(Barber),,551722514,JNF 12-70,,,,,
1150,b185792364,Yes,ML134.B175 W46 2010,(Barber) Wentzel,,YBP 2009042179,JNE 10-230,,,,,
0027,b105953404,Yes,ML134.B18 1970,(Bartok) -,TRUE,NYPG794711753-B,JME 79-21,,,,,
1198,b197165084,Yes,ML134.B18 A7 2011,(Bartok) Antokoletz,,277196000,JME 13-147,,,,,
1232,b202841510,Yes,ML134.B4 D67 2014,(Beethoven) Dorfmüller,,893406527,JMF 14-220,,,,,
0225,b143410581,Yes,ML134.B4 N68 1925,(Beethoven) Nottebohm,TRUE,21844795,"*MCH (Beethoven) (Nottebohm, M. G. Ludwig van Beethoven. 1925);""*R-Music 1968""",,,,,THIS DOESN'T NEED TO BE ON REFERENCE
1128,b181463696,Yes,ML134.B4415 W55 2009,(Bellini) Willier,,281099322,JME 09-860,,,,,
1123,b181038523,Yes,ML134.B46 S56 2009,(Berg) Simms,,263409120,JME 09-1177,,,,,
1271,b215605330,Yes,ML134.B46 S56 2018,(Berg) Simms,,1007500073,JME 18-323,,,,,
0117,b106947916,Yes,ML134.B5 H6 1980,(Berlioz) Hopkinson,,NYPG81-B4603,JMF 81-348,,,,,
1249,b208593184,Yes,ML134.B512 L35 2015,(Bernstein) Laird,,898408587,JNE 16-38,,,,,
0394,b115196596,Yes,ML134.B582 K7 1991,(Billings) Kroeger,,NYPG92-B582,JNE 91-96,,,,,
1035,b163355903,Yes,ML134.B622 L44 2006,(Blitzstein) Lehrman,,61529877,JME 06-411,,,,,
0750,b139250402,Yes,ML134.B63 G5,(Boccherini) Gérard,,59825,JMF 98-945,,,,,
0044,b109041069,Yes,ML134.B8 M33 1984,(Brahms) McCorkle,TRUE,NYPG84-B95461,JMF 85-123,,,,,
1169,b193824218,Yes,ML134.B8 P6 2011,(Brahms) Platt,,624052275,JME 12-408,,,,,
0029,b102158526,Yes,ML134.B85 B75 1973,(Britten) Benjamin,,NYPG744971739-B,JMF 75-15,,,,,
0882,b153282368,Yes,ML134.B85 C73 2002,(Britten) Craggs,,46909074,JME 02-66,,,,,
0273,b111829173,Yes,ML134.B85 E9 1987,(Britten) Evans,,NYPG88-B40842,JMD 88-307,,,,,
0089,b105614993,Yes,ML134.B87 A18,(Bruckner) Grasberger,,NYPG794349122-B,JML 76-42 [Nr.] 7,,,,,
0080,b113985459,Yes,ML134.B95 K3 1985,(Buxtehude) Karstädt,TRUE,NYPG90-B89702,JMF 90-1179,,,,,
0949,b156540502,Yes,ML134.B95 W48 1989,(Buxtehude) Wettstein,,19686135,JMD 12-480,,,,,
1019,b161899559,Yes,ML134.B96 T9 2006,(Byrd) Turbet,,vendor,JME 06-99,,,,,
1270,b215507605,Yes,ML134.C147 H34 2018,(Cage) Haefeli,,968628828,JNE 18-93,,,,,
0163,b108119816,Yes,ML134.C426 H6 1982,(Charpentier) Hitchcock,,NYPG83-B63126,JMF 83-184,,,,,
0107,b116979197,Yes,ML134.C43 H3 1971,(Chavez) Halffter,TRUE,NYPG93-B16290,JMF 93-362,,,,,
0929,b154982313,Yes,ML134.C43 P37 1998,(Chavez) Parker,,38270885,JMD 03-287,,,,,
0029,b107156842,Yes,ML134.C54 K6 1979,(Chopin) Kobylańska,TRUE,NYPG814172324-B,JMF 80-582,,,,,
1244,b20759739x,Yes,ML134.C54 S65 2015,(Chopin) Smialek,,898206242,JME 15-466,,,,,
0253,b110962631,Yes,ML134.C69 L5 1986,(Cowell) Lichtenwanger,,NYPG87-B28431,JND 87-22,,,,,
0091,b114947363,Yes,ML134.D238 B39 1991,(Davies) Bayliss,TRUE,NYPG91-B65926,JMD 91-704,,,,,
1264,b214119944,Yes,ML134.D254 H46 2018,(Davis) Henry,,973199789,JNE 18-102,,,,,
0808,b143863435,Yes,ML134.D26 D9 1962,(Debussy) Durand,,860574,"*MEC (Debussy) (Durand et Cie, Paris. Catalogue de l'oeuvre de Claude Debussy)",,,,,
0085,b105411978,Yes,ML134.D26 L5 1977,(Debussy) Lesure,,NYPG794129392-B,JMD 79-100,,,,,
1131,b181650071,Yes,ML134.D293 H85 2009,(Delius) Huismann,,YBP 2008051725,JME 09-1229,,,,,
0079,b10517855x,Yes,ML134.D293 T5 1977,(Delius) Threlfall,,NYPG784636256-B,JMF 78-630,,,,,
1137,b183210694,Yes,ML134.D66 C37 2009,(Donizetti) Cassaro,,YBP 2008049963,JME 10-258,,,,,
1286,b220035611,Yes,ML134.D73 G73 2020,(Dowland) Grapes,,1099870072,JME 19-415,,,,,
0208,b134618221,Yes,ML134.D86 B87 1996,(Dvořák) Burghauser,TRUE,37460556,JMG 98-271,,,,,
0565,b120539172,Yes,ML134.E613 C73 1995,(Elgar) Craggs,,30783398,JME 95-293,,,,,
0077,b105093415,Yes,ML134.F18 C7,(de Falla) Crichton,,NYPG784546356-B,JMF 78-613,,,,,
0650,b128033721,Yes,ML134.F18 G3 1987,(de Falla) Gallego,,20594544,JME 97-200,,,,,
1193,b197075599,Yes,ML134.F29 P55 2011,"(Fauré) Phillips, Edward",,277196124,JME 13-104,,,,,
0614,b124727438,Yes,ML134.G11 C43 1996,(Gabrieli) Charteris,,34355196,JMF 96-350,,,,,
0842,b145939352,Yes,ML134.G29 C37 2000,(Gershwin) Carnovale,,42289726,JME 00-174,,,,,
0087,b114716675,Yes,ML134.G43 B6 1986,(Ginastera) Boosey,TRUE,NYPG91-B51802,JME 91-406,,,,,
1156,b187684601,Yes,ML134.G43 S38 2010,(Ginastera) Schwartz-Kates,,YBP 2009042726,JME 11-205,,,,,
0048,b110177666,Yes,ML134.G56 H6 1967,(von Gluck) Hopkinson,TRUE,NYPG86-B30959,JMF 86-295,,,,,
0226,b143411226,Yes,ML134.G56 W68 1967,(von Gluck) Wotquenne,TRUE,2901775,"*MCH (Gluck) (Wotquenne, A. Thematisches Verzeichnis)",,,,,THIS DOESN'T NEED TO BE ON REFERENCE
0156,b107998269,Yes,ML134.G68 D7 1983,(Gottschalk) Doyle,,NYPG83-B49751,JNL 77-1 no. 7,,,,,
1115,b179996307,Yes,ML134.G7 F58 2009,(Gounod) Flynn,,vendor 2008029004,JME 09-838,,,,,
0187,b108674927,Yes,ML134.G84 F6 1980,(Grieg) Fog,,NYPG84-B48047,JMD 83-174,,,,,
0312,b180036427,Yes,ML134.G84 F6 2008,(Grieg) Fog,TRUE,har075015118,JMF 09-1049,,,,,
0157,b108001520,Yes,ML134.G85 A73 1983,(Griffes) Anderson,,NYPG83-B50074,JNE 83-24,,,,,
0036,b102606237,Yes,ML134.H16 B4,(Handel) Bell,,NYPG754480881-B,JMD 75-203,,,,,
0107,b106504150,Yes,ML134.H16 E3,(Handel) Eisen,,NYPG804437603-B,JMM 79-55 Library has: Bd. 1-4.,,,,,
1125,b181338075,Yes,ML134.H16 M37 2009,(Handel) Marx,,320198650,JME 09-1199,,,,,
1263,b213549402,Yes,ML134.H16 M37 2017,(Handel) Marx,,994229694,JME 17-389,,,,,
1002,b16105111x,Yes,ML134.H16 P37 2005,(Handel) Parker,,vendor,JME 05-439,,,,,
0002,b100282179,Yes,ML134.H16 S6 1970,"(Handel) Smith, William Charles",TRUE,NYPG710223289-B,*R-Music 71-15,,,,,
0005,b100629180,Yes,ML134.H272 H6,"(Haydn) Hoboken, Anthony van",TRUE,NYPG724016147-B,*R-Music 72-952,,,,,
0185,b126375495,Yes,ML134.H393 1996,Henze,TRUE,35840583,JME 96-585,,,,,
1122,b180893051,Yes,ML134.H5 L87 2009,(Hindemith) Luttmann,,227922543,JME 09-1155,,,,,
0052,b10320653x,Yes,ML134.H75 H75,(Holst) Holst,,NYPG764835444-B,JMF 76-850,,,,,
1195,b197094892,Yes,ML134.H75 H85 2011,(Holst) Huismann,,548660373,JME 13-101,,,,,
0147,b120141978,Yes,ML134.H76 1993,Honegger,TRUE,31911039,JMD 95-42,,,,,
1143,b184364437,Yes,ML134.I9 M34 2010,(Ives) Magee,,YBP 2009029225,JNE 10-161,,,,,
0772,b142977792,Yes,ML134.I9 S56 1999,(Ives) Sinclair,,39905309,JME 99-554,,,,,
0154,b120567714,Yes,ML134.L42 G5 1994,(Lehár) Glocken,TRUE,32334936,JMD 95-212,,,,,
0785,b143411512,Yes,ML134.L7 A2,(Liszt) Breitkopf,,29298472,*MCH (Liszt) (Breitkopf & HÃ¤rtel. Thematisches Verzeichniss),,,,,
1056,b164487621,Yes,ML134.L7 I4 2006,(Liszt) Imre,,69671042,JMM 77-27 Katalog,,,,,
1121,b180893026,Yes,ML134.L7 S2 2009,(Liszt) Saffle,,263409116,JME 09-1153,,,,,
1272,b215731293,Yes,ML134.L844 H84 2018,(Lourié) Hulliger,,1035957106,JMF 18-133,,,,,
0355,b114274319,Yes,ML134.L86 H4 1991,"(Luening) Hartstock, Ralph",,NYPG91-B34482,JNE 91-28,,,,,
0036,b108238283,Yes,ML134.L88 S37 1981,(Lully) Schneider,TRUE,NYPG83-B8729,JMF 82-528,,,,,
1096,b167492184,Yes,ML134.M386 F54 2008,(Mahler [Gustav & Alma]),,156784973,JME 08-216,,,,,
0298,b164975536,Yes,ML134.M44 H35 2007,(Martinů) Halbreich,TRUE,80743932,JMD 07-873,,,,,
1231,b20283606x,Yes,ML134.M44 S566 2014,(Martinů) Simon,,865543937,JME 14-598,,,,,
1260,b211765752,Yes,ML134.M467 O4 2016,(Massenet) Oleon,,952470575,JMF 17-105,,,,,
1282,b219433069,Yes,ML134.M529 S76 2019,"(Mendelssohn, Fanny)",,1065543322,JME 19-303,,,,,
0903,b154792445,Yes,ML134.M53 A2 1966,"(Mendelssohn, Felix)",,NYPG02-B3328,*R-Music (Thematisches Verzeichniss der im Druck ... Composer catalog),,,,,
1182,b196065951,Yes,ML134.M53 C6 2010,"(Mendelssohn, Felix)",,432989974,JME 12-838,,,,,
1265,b214699213,Yes,ML134.M54 B46 2018,(Messiaen) Benitez,,982465330,JME 18-105,,,,,
1267,b215200986,Yes,ML134.M66 L49 2018,(Monteverdi) Lewis,,1005795352,JME 18-178,,,,,
1167,b189834821,Yes,ML134.M662 M33 2011,(Moore) McBride,,425960157,JNE 11-167,,,,,
0006,b100680379,Yes,ML134.M9 H3 1965,"(Mozart) Hase, Hellmuth von",TRUE,NYPG724071333-B,*R-Music 72-1180,,,,,
0846,b146311243,Yes,ML134.M9 K55 1964,(Mozart) Köchel,,383252,*LE-16 1866,,,,,
1042,b163512760,Yes,ML134.M9 S76 2006,(Mozart) Stock,,68804747,JME 06-699,,,,,
0379,b114943382,Yes,ML134.M9 Z2 1991,(Mozart) Zaslaw,,NYPG91-B65416,JMF 91-862,,,,,
1257,b210907319,Yes,ML134.N42 F65 2016,(Nielsen) Foltmann,,944087464,JME 17-40,,,,,
0973,b159266749,Yes,ML134.P17 P47 2004,(Pachelbel) Perreault,,vendor,JMF 04-402,,,,,
0040,b108704233,Yes,ML134.P19 M67 1982,(Paganini) Moretti,TRUE,NYPG84-B51437,JMF 85-316,,,,,
0076,b105070981,Yes,ML134.P613 A35,(Pergolesi) Paymer,,NYPG784522813-B,JME 78-147,,,,,
0620,b125093494,Yes,ML134.P87 S3 1995,(Poulenc) Schmidt,,31607184,JME 96-460,,,,,
0072,b112995913,Yes,ML134.P93 S5 1962,(Prokofiev) Shlifshteĭn,TRUE,NYPG90-B59085,JMB 90-26,,,,,
0756,b140217642,Yes,ML134.P94 F35 1999,(Puccini) Fairtile,,39671802,JMD 99-174,,,,,
0902,b154792433,Yes,ML134.P94 H6,(Puccini) Hopkinson,,NYPG02-B3327,*R-Music,,,,,
0273,b156207072,Yes,ML134.P94 S35 2002,(Puccini) Schickling,TRUE,52048496,JMF 03-166,,,,,
0835,b145129093,Yes,ML134.P95 Z5,(Purcell) Zimmerman,,405396,"*R-Music;""JFE 02-12332""",,,,,
0192,b129898922,Yes,ML134.Q36 A87 1997,(Quantz) Augsbach,TRUE,36627439,JMF 97-323,,,,,
0159,b108052540,Yes,ML134.R12 T5 1982,(Rachmaninoff) Threlfall,,NYPG83-B55612,JME 84-34,,,,,
0984,b160094975,Yes,ML134.R14 B68 2003,(Rameau) Bouissou,,56104158,JMM 04-91 Complete in 5 v.? Library has: t. 1-3.,,,,,
0986,b160135254,Yes,ML134.R19 Z36 2005,(Ravel) Zank,,vendor,JME 05-99,,,,,
1163,b188827754,Yes,ML134.R33 P65 2010,(Reger) Popp,,701796436,JMF 11-215,,,,,
1247,b20814917x,Yes,ML134.R57 S43 2015,(Rimsky-Korsakov) Seaman,,883305000,JME 15-727,,,,,
0415,b116181618,Yes,ML134.R575 D6 1992,(Rochberg) Dixon,,NYPG92-B54942,JNE 92-40,,,,,
0177,b124489813,Yes,ML134.R63 C35 1991,(Rodrigo) Calcraft,TRUE,34743985,JMD 96-215,,,,,
1339,b227328796,Yes,ML134.R63 C53 2021,(Rodrigo) Clark,,1225976148,JME 22-139,,,,,
0889,b154091017,Yes,ML134.S15 A29 2002,(Saint-Saëns) Ratner,,45582521,JMM 02-51 Library has: v. 1-2,,,,,
0167,b123343173,Yes,ML134.S18 1992,Satie,TRUE,33417773,JMD 95-801,,,,,
0942,b155496876,Yes,ML134.S219 G65 1999,(Scarlatti) Goldberg,,42799999,JMF 06-1011,,,,,
0550,b120155163,Yes,ML134.S33 R83,(Schoenberg) Rufer,,NYPG86-B22875,JMF 86-215,,,,,
0950,b157055504,Yes,ML134.S38 D42 1983,(Schubert) Deutsch,,11155442,JMC 12-11,,,,,
1179,b195998352,Yes,ML134.S38 D87 2012,(Schubert) Dürr,,794412917,JME 12-388,,,,,
0084,b114228978,Yes,ML134.S399 K6 1988,"(Schumann, Clara) Koch",TRUE,NYPG91-B28694,JMD 91-279,,,,,
0035,b107882577,Yes,ML134.S4 H64 1982,"(Schumann, Robert) Hofmann",TRUE,NYPG83-B37426,*R-Music 82-730,,,,,
0960,b158538341,Yes,ML134.S4 M33 2003b,"(Schumann, Robert) McCorkle",,52869914,JMF 06-250,,,,,
1003,b161051601,Yes,ML134.S485 D65 2005,(Shostakovich) Dmitri,,60561805,JMD 05-724,,,,,
0351,b114204184,Yes,ML134.S485 H8 1991,(Shostakovich) Hulme,,NYPG91-B24553,JME 91-211,,,,,
0078,b105106380,Yes,ML134.S485 M22,(Shostakovich) MacDonald,,NYPG784559808-B,JME 78-157,,,,,
1140,b18393443x,Yes,ML134.S493 L44 2010,(Siegmeister) Lehrman,,496966923,JME 10-506,,,,,
0962,b158659569,Yes,ML134.S56 D24 2003,(Sibelius) Dahlström,,53989788,JMF 04-327,,,,,
0786,b143412383,Yes,ML134.S9 W4 1956,"(Strauss, Johann [Vater und Sohn]) Weinmann",,2788926,"*MCH (Strauss) (Weinmann, A. Verzeichnis sÃ¤mtlicher);""*R-Phono (Weinmann","A. Verzeichnis sÃ¤mtlicher)""",,,,
0349,b114143845,Yes,ML134.S915 W54 1990,"(Strauss, Johann [Sohn]) Wiener Institut",,23357957,JMM 91-13,,,,,
0153,b120330660,Yes,ML134.S94 T74 1993,"(Strauss, Richard) Trenner",TRUE,30726373,JML 78-37 Bd.12,,,,,
0042,b108876275,Yes,ML134.T24 B7 1975,(Tartini) Brainard,TRUE,NYPG84-B72243,JMD 84-41,,,,,
0895,b154554881,Yes,ML134.T33 P69 2002,(Tchaikovsky) Poznansky,,47643001,JMF 02-905,,,,,
1285,b220031083,Yes,ML134.T33 S43 2020,(Tchaikovsky) Seaman,,1085577488,JME 19-437,,,,,
0152,b107945848,Yes,ML134.T4 M4 1982,(Telemann) Menke,,NYPG83-B43970,JMM 83-34,,,,,
0463,b117366857,Yes,ML134.T4 R84 1984,(Telemann) Ruhnke,,NYPG86-B4159,"**MNB (Telemann, G.P. Works) Suppl. Library has: Bd. 1-3.",,,,,
0176,b124286057,Yes,ML134.T53 W58 1996,(Thomson) Wittke,TRUE,34627674,JND 96-17,,,,,
0646,b127123696,Yes,ML134.V3 K4 1996,(Vaughan Williams) Kennedy,,33132739,JME 97-13,,,,,
1252,b209701316,Yes,ML134.V3 R67 2016,(Vaughan Williams) Ross,,921102742,JME 16-423,,,,,
0090,b114932864,Yes,ML134.V47 F35 1989,(Verdi) Fairtile,TRUE,NYPG91-B62014,JMF 91-1300,,,,,
1189,b196282974,Yes,ML134.V47 H37 2012,(Verdi) Harwood,,724641114,JMD 12-578,,,,,
0009,b101770121,Yes,ML134.V47 H6 1973,"(Verdi) Hopkinson, Cecil",TRUE,NYPG744559230-B,JMM 74-32,,,,,
0053,b110836443,Yes,ML134.V7 F36 1986,(Vivaldi) Fanna,TRUE,NYPG87-B106378,JMF 88-587,,,,,
0256,b111013872,Yes,ML134.V7 R9 1986,(Vivaldi) Ryom,,NYPG87-B3613,JMF 88-1185,,,,,
0306,b167272640,Yes,ML134.V7 R9 2007,(Vivaldi) Ryom,TRUE,har075021411,JMF 08-417,,,,,
1328,b222393233,Yes,ML134.V7 R9 2018,(Vivaldi) Ryom,,1083966369,JMF 20-20,,,,,
0244,b110853155,Yes,ML134.W1 D43 1986,(Wagner) Deathridge,,NYPG87-B12933,JMF 87-262,,,,,
0821,b144323849,Yes,ML134.W37 J25,(von Weber) Jähns,,644379,"*MCH (Weber) (JÃ¤hns, F. W. Carl Maria von Weber in seinen Werken);""Drexel 1701""",,,,,
1261,b212776319,Yes,ML134.W39 H6 2017,(Webern) Hoskisson,,959698332,JME 17-244,,,,,
0163,b123261740,Yes,ML134.W4 M7 1994,(Weill) Mercado,TRUE,32712533,JMD 95-768,,,,,
1203,b197888628,Yes,ML134.W75 J47 2011,(Wolfs) Jestremski,,769807476,JMF 13-278,,,,,
0335,b11390454x,,ML136.A1 S27 1990,Sartori,,NYPG90-B45358,JMN 90-22,,,,,
0126,b107326620,,ML136.L8 B75,British,,NYPG82-B15792,JMM 82-6,,,,,
0255,b150691658,,ML136.L8 B75 E8,"British, European",TRUE,NYPG01-C375,*ZB-4120 & JMF 01-1459,,,,,
0134,b118804339,,ML136.L8 B75 I8,British Library,TRUE,NYPG94-B21128,*R-Music 94-494 Library has: [vol. 1-2].,,,,,
0221,b142329915,,ML136.L8 W47 1984,Westminster,TRUE,19237283,JMD 99-508,,,,,
0037,b108272540,,ML136.O9 C497 1982,"Oxford, Christ Church",TRUE,NYPG83-C2907,"*R-Music 84-688 [Guide]""",,,,,
0095,b105842424,,ML136.P4 F68 E4,"Philadelphia, Free Library",,NYPG794595010-B,JMF 79-714,,,,,
