b172198562,television showstoppers,,,,[],['2915607422'],['F2874SMD']
b172207022,"wien, wien, nur du allein",,,,[],[],['Edition Schott 2601']
b172257104,the very best of the '90s so far,,39288045,,['0769250548'],[],['MF9801']
b172274746,the michel legrand songbook.,,,,[],[],['HL00357230']
b172277838,the greek orthodox hymnal,,,85754231,[],[],[]
b172278831,the merry widow.,,,m  59000408,[],[],[]
b172280278,too many songs,,,81047201,"['0394591574', '0394749308']",[],[]
b172285999,man of la mancha,,,,['0895245582'],['780895245588'],['3709']
b172318488,florilegium musicum;,,,70211358,[],[],[]
b17244357x,floyd collins,,47990897,,['0634010050'],[],['HL00740127']
b172452971,joseph and the amazing technicolor dreamcoat,,,,['0793508398'],['7399962641'],['HL00362641']
b172454414,the phantom of the opera,,,,[],[],[]
b172456307,chitty chitty bang bang,,26194990,,['076920242X'],[],['TSF0070']
b172461935,mideastern clubdate handbook,,,,[],[],[]
b172467159,camelot.,,,,[],[],[]
b172470985,"weep some more, my lady",,,27025802,[],[],[]
b172486038,anthology,,41450910,,['0769258646'],[],['PF9808']
b172512347,we will rock you,,52435390,,['1843283239'],['M570213238'],['9800A']
b172571467,the world of charles aznavour.,,,,[],[],[]
b172606275,"promises, promises;",,,75249128,[],[],[]
b172637181,the mel tormé songbook.,,40850830,,['0769262759'],[],['0279B']
b17266102x,the new henry mancini songbook,,,,[],[],['PO540SMA BColumbia Pictures PUblications']
b172663751,songs by manilow.,,,,[],[],[]
b172788420,"alfred's complete orchestral parts, trumpet 1",,,,[],[],['2809']
b17278847x,"alfred's complete orchestral parts, flute 1",,,,[],[],['2804']
b172789904,bee gees complete.,,,,[],[],[]
b172803019,"the xii wonders of the world, 1611.",,,78247688,[],[],[]
b172808479,"symphonies 1-9, flute",,,,[],[],[]
b17283028x,the all new louie bellson drummers guide.,,,,[],[],[]
b172844575,norma;,,,,[],[],[]
b172861639,a tribute to new york,,48806716,,['0757990568'],[],['MFM0135']
b172876138,sure as you're born,,,,[],[],['1273-101']
b172894773,call me madam.,,,,[],[],[]
b172917347,mass;,,,72212304,[],[],[]
b172930443,beauty and the beast,,,,['0793535646'],['7399912511'],['HL00312511']
b172933997,the songs of irving berlin,,,,['0793503809'],['7399908089'],['HL00308089']
b172942573,white christmas.,,,,[],[],[]
b172949026,little mary sunshine.,,,,[],[],[]
b172951549,carnival!,,,,[],[],[]
b172970970,mit marx- und engelszungen,,,79376423,[],[],[]
b173000204,the pearl fishers;,,,,[],[],[]
b173043781,four wedding marches,,,52027836,[],[],"['Ed. 2134', '42418']"
b173055059,music in medieval and renaissance life;,,,63021850,['0826200265'],[],[]
b173062179,mame,,36995904,,['0881885738'],[],"['HL00384224', '1088']"
b173067293,the apple tree;,,,,[],[],[]
b173068741,fiddler on the roof.,,,65084936,[],[],[]
b173069162,bubbling brown sugar.,,,,[],[],[]
b173073426,early bodleian music,,,,[],[],[]
b173106766,"conga, bongos & rhythm technique,",,,,[],[],[]
b173159151,smash pop hits 1998-1999,,41316250,,['0769278167'],[],['MF9903']
b173166866,road tested,,34682354,,['0895249936'],['7399925618'],['02502190']
b173175302,the complete ave maria,,25971687,,['0793511968'],[],['HL00747023']
b173198569,van morrison anthology,,,,['0793527724'],['7399908204'],['HL00308204']
b173326092,the new york times great latin songs.,,,73090174,[],[],[]
b173339773,the singing tradition of child's popular ballads.,,,75002980,[],[],[]
b173343855,strike up the band,,40606957,,['0769266649'],[],[]
b173400528,wedding blessings;,,,m  55000655,[],[],[]
b173417851,new order music 1981-89.,,,,[],['2318861717'],['VF1717']
b173473301,the gipsy princess,,21810565,,[],[],[]
b173473520,chu chin chow;,,,,[],[],[]
b173503068,the music of laura nyro.,,,72222048,[],[],[]
b173536748,women of modern music.,,42208485,,['0769278884'],[],['MF9905']
b173570069,disney's tarzan,,42043734,,['0634001612'],[],['HL00313122']
b173574488,the star dust melodies of hoagy carmichael,,,,['0091095707'],[],[]
b173597890,the wizard of oz,,4026432,,[],[],[]
b17359797x,"utopia limited or, the flowers of progress",,8172652,,[],[],"['19,540']"
b173598079,grease;,,,,[],[],[]
b173613275,graduale triplex,,,,['2852740443'],[],[]
b173710025,souvenirs de paris (memories of paris),,11698870,,[],[],[]
b17373408x,top hits of 1999.,,,,['0634011332'],[],['HL00310547']
b173746445,the persecution and assassination of jean-paul marat as performed by the inmates of the asylum of charenton under the direction of the marquis de sade,,,66097507,[],[],[]
b173758939,fourth paramount pictures song folio with words and music,,42222465,,[],[],[]
b173773941,the beggar's opera,,,,[],[],['H. 10117']
b173795596,50 top hits of 1981.,,53712214,,[],[],['HL00309625']
b173814773,song book.,,16697306,,[],[],[]
b173872037,barnum,,,,[],[],['TSF0065']
b173876298,city of angels,,,,['0897241428'],['2318862099'],['VF2099']
b173887144,the judy collins songbook,,,,[],[],[]
b173906898,wildcat,,,,[],[],[]
b173950206,music and lyrics by cole porter;,,,72003980,[],[],[]
b173959040,the mike post collection,,,,[],[],['F3052P9X']
b173990137,i've had the time of my life,,,,[],[],['2874TSMX']
b174000716,top hits of 2002,,50985715,,['0634050494'],[],['HL00310913']
b174037338,la bohème,,655350,m  54002736,[],[],"['42660', 'Ed. 2142']"
b174039682,suor angelica,,,,[],[],[]
b174072983,"jim croce, his life and music.",,,74019294,[],[],[]
b17411607x,curley mcdimple;,,,,[],[],[]
b174120370,"sesame street songbook,",,,,[],[],[]
b174148963,"lou reed, words & music.",,,,[],[],['VF1744']
b174159006,django reinhardt anthology,,,,['0895242176'],[],['27083']
b174169620,"songs of the british music hall,",,,69013423,[],[],[]
b174174123,postcard from morocco,,3876728,73206406,[],[],[]
b174181863,mrs. santa claus,,,,['0793570948'],['7399931978'],['HL00385010']
b174189886,li'l abner,,,,[],[],[]
b174221757,my life with albertine,,63109547,,['0634088076'],[],['HL00313297']
b174233656,la périchole,,,,[],[],['OS 97']
b174253941,lieder und gesänge;,,,63043150,[],[],[]
b174254039,mother courage.,,,,[],[],[]
b174265864,the smokey robinson silver anniversary songbook.,,,,['0898981247'],[],[]
b174278354,babes in arms,,,m  60001111,[],[],[]
b174279942,cinderella,,,,[],[],['00312092']
b174280579,do i hear a waltz?,,,66041371,[],[],[]
b174285152,on your toes,,,,[],[],['00312302']
b174285632,pal joey.,,,62006797,[],[],[]
b174286090,the rodgers and hammerstein song book.,,,m  58001019,[],[],[]
b17428763x,south pacific;,,,,[],[],[]
b174289522,wedding and sacred music for all organs and lyrics,,,,['0825620694'],[],['AM 40288']
b174301303,fanny.,,,m  57000848,[],[],[]
b174302733,pins and needles.,,,,[],[],[]
b174303828,song album ...,,,,[],[],[]
b174305229,wish you were here,,,,[],[],[]
b174323943,duetto for meau meau [two cats],,,74021857,[],[],[]
b174356821,greatest pop hits of 2002,,51443794,,['0757909051'],[],['MFM0221']
b174423676,state songs of america,,43794949,,['0313292981'],[],[]
b17448060x,the international book of christmas carols.,,,63019925,[],[],[]
b174517919,[uncataloged miscellaneous songs and song books.],,,,[],[],[]
b174542756,"complete orchestral parts, bassoon 1",,,,[],[],[]
b174542811,"complete orchestral parts, clarinet 1",,,,[],[],[]
b174542860,"complete orchestral parts, horn 1",,,,[],[],[]
b174542884,"complete orchestral parts, oboe 1",,,,[],[],[]
b174558181,geschichte der musik in beispielen;,,,31033751,[],[],[]
b174582328,les misérables,,,,['0881887749'],[],['HL00360286']
b174591950,pippin;,,,,[],[],[]
b17459561x,calamity jane,,,,[],[],[]
b174609085,the songs of jones & schmidt,,,,['0793500249'],[],['HL00490285']
b17461469x,that's entertainment,,,,[],[],['VF1607']
b174733240,maytime,,19009416,,[],[],['27863']
b17474612x,mary poppins,,,65017411,[],[],[]
b174788721,the lute music of francesco canova da milano (1497-1543),,,79103671,[],[],[]
b174826849,paul simon's concert in the park.,,,,['082561337X'],[],['PS 11261']
b174833258,rose marie,,,,[],[],['28618']
b174875034,the wiz,,,,[],[],['VF1107']
b17492205x,boy meets boy,,,,[],[],[]
b174923922,the great american backstage musical,,,,['0573680922'],[],[]
b174930549,anyone can whistle.,,,68048768,[],[],[]
b174932200,the hansen treasury of stephen sondheim songs.,,,,[],[],[]
b17493273x,a little night music;,,,,[],[],[]
b174933022,merrily we roll along,,,,[],[],[]
b174934166,vocal selections [from] follies.,,,,[],[],[]
b174942503,el capitan,,,,[],[],[]
b174944366,genesis deluxe anthology.,,,,[],['2318861903'],['VF1903']
b174960864,music by gershwin.,,,,[],[],[]
b174964559,songs from manhattan;,,,,[],[],[]
b174967895,responsoria et alia ad officium hebddomadae sanctae spectantia,,,,[],[],"['GdV, VII']"
b174988783,schule für die barocklaute.,,,51046185,[],[],['3638']
b17502683x,gertrude stein's first reader.,,,77771061,[],[],[]
b17509276x,annie;,,,78771766,[],[],[]
b175093465,applause;,,,,[],[],[]
b17511027x,mayor,,,,['0898984270'],[],['TSF0055']
b175111650,faust;,,,,[],[],[]
b175111996,nightingale,,,,[],[],[]
b175119090,le rossignol;,,,m  61002499,[],[],[]
b175128315,florodora;,,,m  53001542,[],[],[]
b17514283x,robert and elizabeth,,,67055039,[],[],['18536']
b175145210,"the gondoliers,",,,,[],[],[]
b175149835,vocal score of princess ida,,,,[],[],"['532', '17,871']"
b175149872,"vocal score of the mikado, or, the town of titipu",,,,[],[],['18056']
b175178598,the new charles strouse songbook,,36367365,,['1576236390'],"['781576236390', '2915627253']",['PF9638']
b175179359,the top country hits of 1996,,36814622,,['1576237001'],"['781576237007', '2915627562']",['MF9650']
b175207987,101 folk songs of ireland.,,,,[],[],[]
b175208207,"100 great rock songs of the decade, v. 2.",,,,[],[],[]
b175208475,111 hits of the super stars,,,,[],[],['F2781SMX']
b175208529,111 hits of the super stars,,,,[],[],[]
b175209327,101 mellow hits of the superstars.,,,,[],[],[]
b175209868,100 of the greatest rock & roll hits.,,,,[],[],[]
b175209911,"100 of the greatest themes from broadway, television & the movies",,,,[],[],[]
b175210755,1001 show tunes & movie themes;,,,75018780,[],[],[]
b175212818,29 modern piano interpretations of stephen c. foster's swanee river (old folks at home),,,,[],[],[]
b175213628,"25 top pop hits of 1990, v. 2",,,,[],[],['F3043SMX']
b175227123,the emperor jones,,,,[],[],['MP3045 P/V']
b175240905,poema harmónico,,,,[],[],[]
b175251022,"alfred's complete orchestral parts, bassoon 1",,,,[],[],['2876']
b175251514,"the complete double bass parts, orchestral works.",,,72209682,[],[],[]
b175253584,american hymns old and new,,,79004630,['023103458X'],[],[]
b175270028,ain't misbehavin';,,,,[],[],[]
b175284209,anthology of sacred song,,,,[],[],[]
b175284222,anthology of sacred song;,,,,[],[],[]
b175288100,plain and fancy,,,,[],[],['43326']
b175288392,redhead,,,m  60001761,[],[],[]
b175318098,bass arias from oratorios,,,,[],[],[]
b175333270,the bugle call,,,,[],[],[]
b175368971,the best of jazz;,,,,[],[],[]
b175375161,a treasury of the blues;,,,49050282,[],[],[]
b175393588,bmi television sketchbook,,,52032733,[],[],[]
b175411979,tommy.,,,,[],[],[]
b175412029,tommy;,,,,[],[],[]
b175426090,les chansons de charles trenet.,,,,[],[],[]
b175485525,contemporary love songs.,,,,['0793516749'],['7399911585'],['HL00311585']
b175522947,"a choice selection of american country dances of the revolutionary era, 1775-1795.",,,74029334,[],[],[]
b175522996,choice selection of best standard songs by harry tobias.,,,,[],[],[]
b17554802x,dearly beloved,,,,['0825641624'],[],['AM 42144']
b175549497,the diane bish wedding book,,,,[],[],['G-555']
b175570668,half a sixpence;,,,67046814,[],[],[]
b175588806,babes in toyland,,,,[],[],[]
b175590047,charles dillinghams's production of mlle. modiste,,,,[],[],['7295']
b175593115,eileen;,,,,[],[],[]
b175593280,from the catalog of burke & van heusen.,,,,[],[],[]
b175596645,hello dolly!,,,65002020,['0881880264'],[],['HL00383731']
b17559949x,jerry's girls,,,84757181,[],[],['HL00360075']
b175601707,milk and honey;,,,,[],[],[]
